fid,3D_Easting,3D_Northing,fid_2,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
151,349752.632132094,120507.398126978,320966,Roads Tracks And Paths,349755.02,120510.39,-2.38786790589802,-2.99187302163045,3.82795210439968
152,349397.999122472,124593.082660808,377583,Roads Tracks And Paths,349399.01,124594.66,-1.01087752758758,-1.57733919209568,1.87346531932209
155,349622.799646328,124725.433671383,378292,Roads Tracks And Paths,349626.7,124722.51,-3.90035367233213,2.92367138293048,4.87448593439773
156,349436.800025596,124796.762238724,377611,Roads Tracks And Paths,349437.22,124797.99,-0.419974404387176,-1.22776127602265,1.29760404254962
157,349872.358394349,124546.171983398,308520,Roads Tracks And Paths,349871.7,124547.08,0.658394348691218,-0.908016601621057,1.12159585734256
158,349433.582241522,124946.885814592,377648,Roads Tracks And Paths,349433.81,124949.62,-0.227758477500174,-2.73418540778221,2.74365518391112
159,349792.99527828,124671.940489735,378460,Roads Tracks And Paths,349793.869,124668.877,-0.8737217199523,3.06348973511194,3.18564891365208
160,349218.878497608,124137.078389035,314850,Roads Tracks And Paths,349219.62,124137.92,-0.74150239181472,-0.841610965362634,1.12166608849763
162,349235.174787543,124248.666492603,314754,Roads Tracks And Paths,349233.26,124252.72,1.91478754329728,-4.05350739692221,4.4830049690882
163,349891.510628674,124722.102372219,311921,Roads Tracks And Paths,349893.305,124722.793,-1.79437132552266,-0.69062778132502,1.92268957093855
165,349411.594421806,124675.565166665,302438,Roads Tracks And Paths,349412.14,124677.54,-0.545578194316477,-1.97483333504351,2.04880996368934
167,349444.431861246,124854.555180064,377697,Roads Tracks And Paths,349444.78,124852.88,-0.348138754430693,1.675180063874,1.71097306780014
168,349741.622440564,124741.66825244,378282,Roads Tracks And Paths,349740.84,124741.76,0.782440563489217,-0.0917475598253077,0.787801275784206
169,349208.794253243,124110.954660865,314774,Roads Tracks And Paths,349206.7,124111.7,2.09425324300537,-0.745339135304675,2.22293208903359
170,349745.975051433,120508.24806792,321334,Roads Tracks And Paths,349747.64,120511.23,-1.66494856739882,-2.98193207966688,3.41525587033092
171,349393.168088834,124595.390260209,377728,Roads Tracks And Paths,349395.98,124595.63,-2.81191116565606,-0.239739791344618,2.82211260779848
172,349944.215455207,124462.280956471,378356,Roads Tracks And Paths,349943.42,124466.29,0.795455206884071,-4.0090435291786,4.08719696185635
174,349627.237790751,124728.507462541,378291,Roads Tracks And Paths,349627.19,124729.52,0.0477907508029602,-1.01253745947906,1.01366466975555
175,349428.608356863,124749.136291777,302250,Roads Tracks And Paths,349428.155,124750.863,0.453356863174122,-1.72670822341752,1.78523212333992
176,349877.004570664,124549.257550637,308521,Roads Tracks And Paths,349875.83,124547,1.17457066394854,2.25755063717952,2.54482830934391
177,349804.182741458,124655.70629283,378455,Roads Tracks And Paths,349804.626,124656.587,-0.443258541694377,-0.880707169882953,0.98596310979076
178,349433.820474151,124930.043793171,302366,Roads Tracks And Paths,349433.64,124929.14,0.180474150867667,0.903793170917197,0.921636053400673
179,349759.678255257,124726.384376458,378330,Roads Tracks And Paths,349758.1,124729.72,1.57825525681255,-3.33562354184687,3.69015908445415
180,349184.484200006,123968.715624686,314797,Roads Tracks And Paths,349184.24,123965.49,0.244200006476603,3.22562468629621,3.23485521468994
182,349238.974897963,124244.730689154,314859,Roads Tracks And Paths,349238.33,124242.96,0.644897963444237,1.77068915376731,1.88447166668106
184,349405.439552198,124640.544692534,308629,Roads Tracks And Paths,349406.64,124641.77,-1.20044780208264,-1.22530746604025,1.71535807103328
185,349881.935448087,124542.073717202,308417,Roads Tracks And Paths,349883.298,124542.333,-1.36255191301461,-0.25928279767686,1.38700226561853
