fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
18887,933,302269.236,127201.5778,Buildings,302266.187,127200.036,3.049019191,1.541816806,3.416682176
18912,1186,302308.7358,129678.1538,Buildings,302309.66,129676.75,-0.924246384,1.403826352,1.680761674
18936,1164,302968.7253,129667.1718,Buildings,302965.88,129666.55,2.84528831,0.621757494,2.912429904
18971,1230,302917.4397,129576.8416,Buildings,302919.02,129578.72,-1.58026737,-1.878439485,2.454746394
18993,1204,302926.4828,129176.6858,Buildings,302924.79,129175.05,1.692805619,1.635766632,2.354001558
19074,1215,302638.7482,129600.7335,Buildings,302635.86,129600.07,2.888183371,0.663538497,2.963424796
19088,1212,302176.9681,129720.3256,Buildings,302178.68,129719.4,-1.711876313,0.925603536,1.946089006
19123,1186,302308.7358,129678.1538,Buildings,302309.66,129676.75,-0.924246384,1.403826352,1.680761674
19142,1186,302308.7358,129678.1538,Buildings,302309.66,129676.75,-0.924246384,1.403826352,1.680761674
19286,1189,302934.9124,129658.3917,Buildings,302931.99,129657.76,2.922399821,0.631696971,2.989893271
20044,51,300570.3952,142736.2086,Buildings,300568.065,142736.124,2.3301999,0.084619651,2.331735847
20060,51,300570.3952,142736.2086,Buildings,300568.065,142736.124,2.3301999,0.084619651,2.331735847
22980,8,300813.4296,142588.0171,Buildings,300811.71,142584.46,1.719640072,3.55709863,3.950963508
23496,40,301755.2968,141506.0016,Buildings,301752.55,141504.37,2.746778522,1.631590065,3.194820556
23651,23,301561.7134,141413.177,Buildings,301559.169,141411.127,2.544367628,2.050036528,3.26748472
23956,547,302525.0097,135847.5973,Buildings,302522.72,135847.38,2.289698621,0.217344206,2.299990931
24114,883,301442.8171,125870.9054,Buildings,301440.824,125870.064,1.993067098,0.841371244,2.16338208
24126,883,301442.8171,125870.9054,Buildings,301440.824,125870.064,1.993067098,0.841371244,2.16338208
24141,910,300928.7642,126407.5643,Buildings,300928.505,126405.323,0.259157281,2.241338385,2.256271316
24204,1206,300676.3927,129188.7894,Buildings,300674.99,129188.02,1.402730579,0.7693578,1.599863901
24731,514,301828.3966,133068.1969,Buildings,301825.644,133067.358,2.752610922,0.838914927,2.877611013
24733,471,301837.8631,133101.05,Buildings,301834.83,133099.21,3.033143281,1.840036027,3.547631709
24734,580,301815.7196,133108.3566,Buildings,301813.45,133105.94,2.269649568,2.416554441,3.315274427
24735,557,301806.3056,133075.0797,Buildings,301803.77,133072.84,2.53559617,2.23974993,3.383153512
24737,514,301828.3966,133068.1969,Buildings,301825.644,133067.358,2.752610922,0.838914927,2.877611013
25371,480,303197.5872,136541.3442,Buildings,303194.42,136540.67,3.167244722,0.674170047,3.238200793
25411,480,303197.5872,136541.3442,Buildings,303194.42,136540.67,3.167244722,0.674170047,3.238200793
25733,1212,302176.9681,129720.3256,Buildings,302178.68,129719.4,-1.711876313,0.925603536,1.946089006
25752,1239,301606.873,130018.2452,Buildings,301604.74,130016.44,2.133016288,1.805204181,2.794373029
25758,1198,301663.8172,130046.0078,Buildings,301662.049,130044.448,1.768213736,1.55980965,2.357877427
25760,1173,301655.0785,130063.0323,Buildings,301652.589,130063.02,2.489499482,0.012334843,2.48953004
